name,m,k,n,median_ms,min_ms,mean_ms,gflops,gbyte_s
cpu_naive,256,256,256,11.377,10.7266,11.4551,2.94933,0.069125
cpu_blocked,256,256,256,5.87838,5.76408,5.8654,5.70811,0.133784
cpu_simd_openmp,256,256,256,1.10083,1.09758,1.10756,30.4809,0.714397
cpu_blas,256,256,256,0.023875,0.019542,0.0223832,1405.42,32.9396
cpu_naive,512,512,512,85.1481,84.7381,85.0196,3.15257,0.0369442
cpu_blocked,512,512,512,48.6256,48.0066,48.4957,5.52046,0.0646929
cpu_simd_openmp,512,512,512,11.273,10.982,11.2209,23.8123,0.279051
cpu_blas,512,512,512,0.18,0.157166,0.1787,1491.31,17.4763
cpu_naive,1024,1024,1024,825.371,822.585,827.26,2.60184,0.0152452
cpu_blocked,1024,1024,1024,598.778,596.005,599.24,3.58644,0.0210143
cpu_simd_openmp,1024,1024,1024,97.7952,96.9797,97.707,21.959,0.128666
cpu_blas,1024,1024,1024,0.852458,0.706667,0.9784,2519.17,14.7607
cpu_naive,2048,2048,2048,10018.1,9963.08,10027.3,1.71489,0.00502408
cpu_blocked,2048,2048,2048,6186.94,6150.77,6175.87,2.77679,0.00813514
cpu_simd_openmp,2048,2048,2048,881.206,876.299,886.121,19.4959,0.0571168
cpu_blas,2048,2048,2048,5.33421,5.32088,5.35027,3220.7,9.43564
cpu_naive,4096,4096,4096,204117,201329,205123,0.673335,0.00098633
cpu_blocked,4096,4096,4096,54871,54647.8,54996,2.50476,0.00366909
cpu_simd_openmp,4096,4096,4096,8261.88,8252.64,8262.45,16.6353,0.0243681
cpu_blas,4096,4096,4096,44.0832,44.044,44.0994,3117.72,4.56697
